ycomURL,company_name,company_tagline,company_description,URL,founded,team_size,location,founder_name_1,founder_linkedin_1,founder_name_2,founder_linkedin_2
https://www.ycombinator.com/companies/kiwify,Kiwify,Create & sell online courses,"Kiwify enables anyone to create and sell their online course in Brazil.
We provide payment processing, video streaming and student management",https://kiwify.com.br,2020,10,Brazil,Marinho Gomes,https://www.linkedin.com/in/marinho-gomes/,Artur Ribas,https://www.linkedin.com/in/artur-ribas-01b104157/
https://www.ycombinator.com/companies/avion-school,Avion School,We teach Filipinos to become remote software engineers globally.,,https://avionschool.com,2020,4,"Manila, Philippines",Victor Rivera,https://www.linkedin.com/in/victorjosephrivera/,John Young,https://www.linkedin.com/in/work-john-young/
https://www.ycombinator.com/companies/turing-college,Turing College, An online data science school suitable for all levels of expertise,Turing College is an online data science school suitable for all levels of expertise. Tech companies co-create our curriculum and get live updates on students' performance to make hiring decisions in days rather than months.,https://www.turingcollege.com/,2020,15,"Vilnius, Lithuania",Lukas Kaminskis,https://www.linkedin.com/in/lukaskaminskis/,Tomas Moska,https://www.linkedin.com/in/alanturing/
https://www.ycombinator.com/companies/upchieve,UPchieve,"Connecting low-income HS students with free, 24/7 online tutoring","UPchieve is an edtech nonprofit that provides free, 24/7 online tutoring to low-income HS students. Using our app, students can request and get paired with a live volunteer in under 5 minutes. We’ve matched more than 10,000 requests so far.

Right now in the US, there are 8 million low-income HS students who don’t have anyone in their home who can help them with schoolwork. UPchieve is working to change that. Our vision is simple: we want to democratize access to academic support, so that every student has an equal opportunity to attend college and achieve upward mobility.",https://www.upchieve.org,2016,6,New York,Aly Murray,https://www.linkedin.com/in/alymurray/,Dave Sudia,https://linkedin.com/in/davidsudia
https://www.ycombinator.com/companies/awari,Awari,"We train the best designers, data scientists, and developers in Brazil","We offer effective, 6-month long courses for people to learn in-demand tech skills in Brazil. Students work on real projects, get 1:1 mentorship from industry experts, and pay nothing until they land a high-paying job. 

Our mentors come from companies like Disney, Uber, Nubank and others. We offer courses in Design and Data Science, Product Management and more. ",https://awari.com.br/,2018,27,"São Paulo, Brazil",Fabio Muniz,https://www.linkedin.com/in/fabiowlmuniz/,NA,NA
https://www.ycombinator.com/companies/poliglota,Poliglota,"The online language school for Latam, with groups led by an instructor","Poliglota is the online language school for Latam, where group classes are led by an instructor. Over 12,000 students have paid us $500 to learn english in order to get a higher income.
We offer an online service of personalized language sessions with small groups of people of the same level, guided by expert language coaches that we train in our social methodology.",https://www.poliglota.org/,2012,86,"Santiago, Chile",Carlos Aravena ,https://www.linkedin.com/in/carlos-aravena-poliglota,Nicolas Fuenzalida,https://www.linkedin.com/in/nicolasfuenzalida/
https://www.ycombinator.com/companies/kidato,Kidato,Online school for K12 education in Africa,"Parents in Africa face either public schools with student-teacher ratios as high as 50:1 or private schools with tuition fees as high as $7500 per year, per child. Kidato classes have student-teacher ratios of 5:1 and teach the same rigorous international curriculum as other private schools — but at a fraction of the price. In our second semester, Kidato has enrolled more than 30 students into our learning-from-home program as a replacement for brick-and-mortar schools. We expect to triple this enrollment by our third semester.  
",https://www.kidato.co,2020,15,"Nairobi, Kenya",Sam Gichuru,https://www.linkedin.com/in/samgichuru,NA,NA
https://www.ycombinator.com/companies/prendea,Prendea,Live afterschool classes for Spanish-speaking kids ages 4 to 15.,"Prendea offers live afterschool classes to Spanish-speaking kids ages 4 to 15.  For a fixed monthly price, kids can choose as many classes as they like from our large selection that ranges from TikTok choreography to astronomy.",https://prendea.com,2020,5,"Barranco, Peru",Gonzalo Aguilar,https://www.linkedin.com/in/gonzalodecheck/,Benjamin Garmendia,https://www.linkedin.com/in/benjamingarmendia
https://www.ycombinator.com/companies/unschool,Unschool,"Learn, Intern and become Industry-Ready","Unschool provides real-world professional education that colleges in India do not provide. We are a marketplace where college students in India can learn about technology, management and arts from high-quality courses created by experts from around the world.",https://www.unschool.in/,2019,35,"Hyderabad, India",Narayanan S,https://www.linkedin.com/in/chalkmeout/,Rahul Varma,https://www.linkedin.com/in/rahul-varma-g/
https://www.ycombinator.com/companies/acadpal,AcadPal,Learning app for schools in India,"AcadPal allows schools in India to identify and fill student’s conceptual gaps that aren’t satisfied inside the classrooms. Students do 10-minute practice sets at home, which enables tracking of their learning progress for both themselves and their teachers.",https://www.acadpal.com,2020,3,"Pune, India",Vikramaditya Patil,https://www.linkedin.com/in/vikramaditya-patil/,Pratyush Sharma,https://www.linkedin.com/in/pratyusharma/
https://www.ycombinator.com/companies/codingal,Codingal,Online after-school for Indian K-12 kids to learn coding,"Codingal is the online after-school for 270M Indian K-12 students to learn coding by buildings apps, games, and websites. All classes are taught live 1:1 by vetted and trained all-star teachers with Computer Science background, which sets them apart.

India has great technical universities but literally zero programming education at the K-12 level. Parents want their kids to get started with programming earlier, and that's why they use Codingal.

Every kid gets a personalized learning path and personalized individual attention in 1:1 classes with teachers. Kids learn by building apps, games, websites, and robotics in a fun & engaging way.

Kids find it so fun & engaging that NPS is just outstanding - 73. They have rated teachers at 4.9 out of 5. Curriculum content is rated at 4.6 out of 5.

Codingal is on a mission to inspire kids to fall in love with coding, and provide the right education to them who will be able to create anything they can imagine and build the future when they grow up to become entrepreneurs, engineers, and scientists.",https://www.codingal.com,2020,20,"Bengaluru, India",Satyam Baranwal,https://www.linkedin.com/in/satyam-baranwal/,Vivek Prakash,https://www.linkedin.com/in/prakashvivek/
https://www.ycombinator.com/companies/coderhouse,Coderhouse,Effective and accessible online live education.,"A web app that offers live online courses in programming, design, data, online marketing and more.

Our courses are nearly as affordable as online Moocs (~$40 a month) and as effective as Bootcamps. We achieve this by running 100 person live classes with one expert professor and one mentor per 15 students. Every class, students need to turn in assignments that are corrected by their mentors and at the end of the course they need to turn in and approve a final project. We also help our selected students with careers services such as mockup interviews, Linkedin enhancement, and more. All of this creates a level of accountability that allows us to achieve really low churn levels (<9%).

Our career tracks last between 9-11 months and we give our selected students their money back in case they don't get a job 6 months after they are done with the course.",https://www.coderhouse.com/,2019,78,"Buenos Aires, Argentina",Nahuel Lema,https://www.linkedin.com/in/nahuellema/,Christian Patiño,https://www.linkedin.com/in/christian-pati%C3%B1o-1038061a/
