ycomURL,company_name,company_tagline,company_description,URL,founded,team_size,location,founder_name_1,founder_linkedin_1,founder_name_2,founder_linkedin_2,founder_name_3,founder_linkedin_3
https://www.ycombinator.com/companies/firstignite,FirstIgnite,Business development software for the scientific community,"FirstIgnite changes the way science is done by speeding up the networking process between scientists and industry.  Instead of waiting all year to attend a conference, scientists can connect in real time with industry for feedback and funding on their research.",https://firstignite.com,2019,7,"Traverse City, MI",Chase Bonhag,https://www.linkedin.com/in/chasebonhag/,Cody Pawlowski,https://www.linkedin.com/in/codypawlowski,NA,NA
https://www.ycombinator.com/companies/plai,Plai,Launch targeted ads like a pro from your phone.,"Plai is the simple way for early stage businesses to run ads across multiple platforms in :15 seconds, no experience required for just $14.99 /mo. Instead of spending hundreds of hours learning Google Ads, TikTok Ads, or money on an expensive agency, early stage businesses can use the best advertising strategies in seconds, launch ads across multiple platforms in a tap, and have all of the hard stuff like bidding, A/B testing, and optimizations taken care of automatically on the go to save them time, money, and grow faster.",https://www.plai.io/,2019,3,"Los Angeles, CA",Logan Welbaum,https://www.linkedin.com/in/logan-welbaum,NA,NA,NA,NA
https://www.ycombinator.com/companies/filadd,Filadd,We prepare LatAm students to sit for their university entrance exam.,"We produce and sell online courses to prepare students to successfully sit for their university entrance exam. We currently sell courses in Argentina, Chile, Colombia and Brazil. The courses have video lessons, mock exams, personalized follow-up and 24/7 contact with experienced teachers and tutors. 90% of the students who prepare with us achieve the desired score",https://courses.filadd.com/,2018,25,"Córdoba, Argentina",Guillermo Bruchmann,https://www.linkedin.com/in/guillermo-bruchmann-4a3b9713b/,Nicolás Ferrer,https://www.linkedin.com/in/nicol%C3%A1s-ferrer-6b1527117/,Agustin Trombotto,https://www.linkedin.com/in/agustin-trombotto-a258b512a/
https://www.ycombinator.com/companies/female-invest,Female Invest,Female Invest is a social e-learning platform for investing ,Female Invest is on a mission to close the financial gender gap. We are a subscription based e-learning platform that teaches women how to invest and make the most of their money. We currently have MRR of USD 95.000 and 14.000+ paying subscribers across more than 60 countries. ,https://www.femaleinvest.com/,2019,9,"Copenhagen, Denmark",Emma Bitz,https://www.linkedin.com/in/emmabitz/,Camilla Falkenberg,https://www.linkedin.com/in/camilla-clo%C3%ABtta-falkenberg-69b78895/,Anna-Sophie Hartvigsen,https://www.linkedin.com/in/anna-sophie-hartvigsen-46352611a/
https://www.ycombinator.com/companies/greenwork,Greenwork,Online learning for clean energy and new infrastructure workers,"Greenwork is training tomorrow’s clean energy workforce. We identify in-demand job categories, such as solar installation, and train workers with free online courses, charging employers a placement fee to hire our graduates.

Oure courses are a mix of live teaching on Zoom, skills videos we create with experts, and asynchronous reading and quizzes.

We offer students a free course that gives them a basic foundation of knowledge and allows them to vet whether the job is right for them. The course is a chance to prove their excitement, aptitude, and reliability to employers.

We provide employers vetted, trained candidates ready to start work now. Greenwork students have the positive attitude and natural abilities needed to grow into leaders.",https://joingreenwork.com,2021,2,San Francisco,Gautam Jayaraman,https://www.linkedin.com/in/gautamj/,Sam Steyer,https://www.linkedin.com/in/sam-steyer/,NA,NA
https://www.ycombinator.com/companies/litnerd,Litnerd,Litnerd brings books to life for elementary schools,Litnerd provides an online reading program that brings K-5 books to life by blending the creator economy to traditional education. Litnerd will teach the 37 Million elementary school students in America how to read. Today schools spend approx. $30 Billion on reading and supplemental education programs. Yet 42% of their students still cannot read by 4th grade.,https://litnerd.com/,2020,3,"Miami, FL",Anisa Mirza,https://www.linkedin.com/in/anisa-mirza-2781a045/,NA,NA,NA,NA
https://www.ycombinator.com/companies/spark-studio,Spark Studio,Online extracurricular courses for kids (5-15 yrs),"Spark Studio brings quality extracurricular learning for children to the convenience of their homes. Courses are taught to children between 5 and 15 years of age in classrooms sized 1:5. Courses last between 10-15 weeks.

We’re building this with a full-stack approach (as opposed to a marketplace) in three categories - communication skills, music and visual arts. We design curriculum, train teachers, develop content and quality control every last aspect of the learning experience. This makes our kids love these classes, resulting in a completion rate of 98.5%!",https://sparkstudio.co,2020,14,"Bengaluru, India",ANUSHREE GOENKA,https://www.linkedin.com/in/anushreegoenka/,Namita Goel,https://www.linkedin.com/in/namita-goel-33918b5/,Kaustubh Khade,https://www.linkedin.com/in/kaustubhkhade/
https://www.ycombinator.com/companies/endla,Endla,Optimise physical engineering assets with software,"We are building fit-for-purpose software solutions to design and operate physical assets to maximise efficiency and increase the bottom line.

Our first product, AlphaTally, is a cloud based auto-design tool for coal seam gas companies to use when designing the running list of parts to install after each well is drilled. It’s already saving on average $10,000 per well for our first two customers, Origin Energy and Senex Energy Limited (both are public companies listed on ASX).

Our long term vision is to modernise the traditional engineering sector, an industry known for systematically using a flat head screwdriver on a phillips screw and settling on ‘good enough’, which leads to huge inefficiencies.",https://endla.com,2019,2,"Brisbane, Australia",Michael Moore,https://www.linkedin.com/in/michaelmoore1997/,Riley O'Donnell,https://www.linkedin.com/in/rileyodonnell-1/,NA,NA
https://www.ycombinator.com/companies/vinco,Vinco,Vinco helps companies in LatAm retain employees through education,"Vinco helps companies in LatAm pay for their frontline employees’ online education. We do this by connecting employees to flexible online programs (like High School, College, and English Courses) and making it easy for companies to sponsor the cost, increasing employee retention by at least 2X.",https://www.vincoed.com,2021,10,"Monterrey, Mexico",Miriam Fernandez,https://www.linkedin.com/in/miriam-fernandezgg/,Lissy Giacoman,https://www.linkedin.com/in/lissymgiacoman/,Sofia Sada,http://linkedin.com/in/sasegovs/
https://www.ycombinator.com/companies/kaipod-learning,KaiPod Learning,Making it possible for more families to afford higher-quality learning,"KaiPod Learning makes it possible for more families to afford a higher-quality learning experience. For half the cost of a typical private school, we offer 8:1 student:teacher ratios, daily academic tutoring, project-based learning, and an extended school day.

Our model delivers deeply personalized learning (really!), through a self-paced curriculum, daily 1-on-1 tutoring, and enrichment programs designed for each student. By blending the best of both public and private education, we are building a new option for busy parents looking for a highly engaging and effective learning experience. 

The company is led by Pearson Online Learning’s former Chief Product Officer and 100% of its employees are former teachers looking to build the classroom of the future.",http://www.kaipodlearning.com,2021,4,Boston,Amar Kumar,https://www.linkedin.com/in/kumaramar/,NA,NA,NA,NA
